game_id,season_id,game_date,home_team,visitor_team,home_score,visitor_score,attendance,game_length,game_length_seconds,venue,num_periods,shootout_rounds,referee1_name,referee1_number,referee2_name,referee2_number,linesperson1_name,linesperson1_number,linesperson2_name,linesperson2_number
260,8,"Tuesday, January 20, 2026",New York Sirens,Ottawa Charge,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
261,8,"Tuesday, January 20, 2026",Seattle Torrent,Toronto Sceptres,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
262,8,"Wednesday, January 21, 2026",Minnesota Frost,Montréal Victoire,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
263,8,"Thursday, January 22, 2026",Vancouver Goldeneyes,Toronto Sceptres,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
264,8,"Saturday, January 24, 2026",Montréal Victoire,Ottawa Charge,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
265,8,"Sunday, January 25, 2026",Minnesota Frost,New York Sirens,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
266,8,"Sunday, January 25, 2026",Seattle Torrent,Vancouver Goldeneyes,0,0,NA,,NA,Ball Arena | Denver,NA,0,,NA,,NA,,NA,,NA
267,8,"Wednesday, January 28, 2026",Montréal Victoire,Toronto Sceptres,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
269,8,"Wednesday, January 28, 2026",Boston Fleet,New York Sirens,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
268,8,"Wednesday, January 28, 2026",Ottawa Charge,Seattle Torrent,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
270,8,"Wednesday, January 28, 2026",Minnesota Frost,Vancouver Goldeneyes,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
271,8,"Thursday, February 26, 2026",New York Sirens,Montréal Victoire,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
272,8,"Friday, February 27, 2026",Seattle Torrent,Toronto Sceptres,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
273,8,"Saturday, February 28, 2026",Ottawa Charge,Boston Fleet,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
274,8,"Sunday, March  1, 2026",Montréal Victoire,Minnesota Frost,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
275,8,"Sunday, March  1, 2026",Vancouver Goldeneyes,Toronto Sceptres,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
276,8,"Tuesday, March  3, 2026",Toronto Sceptres,Montréal Victoire,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
277,8,"Wednesday, March  4, 2026",Ottawa Charge,Seattle Torrent,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
278,8,"Thursday, March  5, 2026",New York Sirens,Boston Fleet,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
279,8,"Sunday, March  8, 2026",New York Sirens,Ottawa Charge,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
280,8,"Sunday, March  8, 2026",Toronto Sceptres,Minnesota Frost,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
281,8,"Tuesday, March 10, 2026",Vancouver Goldeneyes,Boston Fleet,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
282,8,"Wednesday, March 11, 2026",Ottawa Charge,Montréal Victoire,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
283,8,"Wednesday, March 11, 2026",Seattle Torrent,Boston Fleet,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
284,8,"Friday, March 13, 2026",Minnesota Frost,Seattle Torrent,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
285,8,"Saturday, March 14, 2026",Vancouver Goldeneyes,Ottawa Charge,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
286,8,"Sunday, March 15, 2026",Montréal Victoire,Boston Fleet,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
287,8,"Sunday, March 15, 2026",Toronto Sceptres,Seattle Torrent,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
288,8,"Sunday, March 15, 2026",Minnesota Frost,New York Sirens,0,0,NA,,NA,Ball Arena | Denver,NA,0,,NA,,NA,,NA,,NA
289,8,"Tuesday, March 17, 2026",Boston Fleet,Toronto Sceptres,0,0,NA,,NA,Agganis Arena | Boston,NA,0,,NA,,NA,,NA,,NA
290,8,"Wednesday, March 18, 2026",Minnesota Frost,Ottawa Charge,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
291,8,"Wednesday, March 18, 2026",Vancouver Goldeneyes,New York Sirens,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
292,8,"Thursday, March 19, 2026",Montréal Victoire,Seattle Torrent,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
293,8,"Saturday, March 21, 2026",Vancouver Goldeneyes,Minnesota Frost,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
294,8,"Saturday, March 21, 2026",Boston Fleet,Seattle Torrent,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
295,8,"Sunday, March 22, 2026",Ottawa Charge,Montréal Victoire,0,0,NA,,NA,Canada Life Centre | Winnipeg,NA,0,,NA,,NA,,NA,,NA
296,8,"Tuesday, March 24, 2026",Boston Fleet,Vancouver Goldeneyes,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
297,8,"Wednesday, March 25, 2026",Minnesota Frost,Montréal Victoire,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
298,8,"Wednesday, March 25, 2026",Seattle Torrent,New York Sirens,0,0,NA,,NA,Allstate Arena | Chicago,NA,0,,NA,,NA,,NA,,NA
299,8,"Friday, March 27, 2026",Toronto Sceptres,Boston Fleet,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
300,8,"Saturday, March 28, 2026",Montréal Victoire,New York Sirens,0,0,NA,,NA,Little Caesars Arena | Detroit,NA,0,,NA,,NA,,NA,,NA
301,8,"Sunday, March 29, 2026",Toronto Sceptres,Vancouver Goldeneyes,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
302,8,"Sunday, March 29, 2026",Minnesota Frost,Boston Fleet,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
303,8,"Sunday, March 29, 2026",Seattle Torrent,Ottawa Charge,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
305,8,"Wednesday, April  1, 2026",Montréal Victoire,Vancouver Goldeneyes,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
304,8,"Wednesday, April  1, 2026",New York Sirens,Minnesota Frost,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
306,8,"Wednesday, April  1, 2026",Ottawa Charge,Toronto Sceptres,0,0,NA,,NA,Scotiabank Saddledome | Calgary,NA,0,,NA,,NA,,NA,,NA
308,8,"Saturday, April  4, 2026",New York Sirens,Seattle Torrent,0,0,NA,,NA,TBD,NA,0,,NA,,NA,,NA,,NA
307,8,"Saturday, April  4, 2026",Minnesota Frost,Vancouver Goldeneyes,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
309,8,"Tuesday, April  7, 2026",Montréal Victoire,Seattle Torrent,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
310,8,"Tuesday, April  7, 2026",Vancouver Goldeneyes,Boston Fleet,0,0,NA,,NA,Rogers Place | Edmonton,NA,0,,NA,,NA,,NA,,NA
311,8,"Wednesday, April  8, 2026",Ottawa Charge,Seattle Torrent,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
314,8,"Saturday, April 11, 2026",Boston Fleet,Montréal Victoire,0,0,NA,,NA,TBD,NA,0,,NA,,NA,,NA,,NA
312,8,"Saturday, April 11, 2026",Minnesota Frost,New York Sirens,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
313,8,"Saturday, April 11, 2026",Toronto Sceptres,Ottawa Charge,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
315,8,"Tuesday, April 14, 2026",Vancouver Goldeneyes,Seattle Torrent,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
317,8,"Wednesday, April 15, 2026",Boston Fleet,Minnesota Frost,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
316,8,"Wednesday, April 15, 2026",New York Sirens,Toronto Sceptres,0,0,NA,,NA,Prudential Center | Newark,NA,0,,NA,,NA,,NA,,NA
318,8,"Friday, April 17, 2026",Montréal Victoire,Boston Fleet,0,0,NA,,NA,Place Bell | Laval,NA,0,,NA,,NA,,NA,,NA
320,8,"Saturday, April 18, 2026",Seattle Torrent,Vancouver Goldeneyes,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
319,8,"Saturday, April 18, 2026",Ottawa Charge,New York Sirens,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
321,8,"Sunday, April 19, 2026",Minnesota Frost,Toronto Sceptres,0,0,NA,,NA,Grand Casino Arena | St. Paul,NA,0,,NA,,NA,,NA,,NA
322,8,"Tuesday, April 21, 2026",Toronto Sceptres,New York Sirens,0,0,NA,,NA,Coca-Cola Coliseum | Toronto,NA,0,,NA,,NA,,NA,,NA
323,8,"Tuesday, April 21, 2026",Vancouver Goldeneyes,Montréal Victoire,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
324,8,"Wednesday, April 22, 2026",Boston Fleet,Ottawa Charge,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
325,8,"Wednesday, April 22, 2026",Seattle Torrent,Minnesota Frost,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
329,8,"Saturday, April 25, 2026",Boston Fleet,New York Sirens,0,0,NA,,NA,Tsongas Center | Lowell,NA,0,,NA,,NA,,NA,,NA
328,8,"Saturday, April 25, 2026",Ottawa Charge,Toronto Sceptres,0,0,NA,,NA,TD Place | Ottawa,NA,0,,NA,,NA,,NA,,NA
326,8,"Saturday, April 25, 2026",Seattle Torrent,Montréal Victoire,0,0,NA,,NA,Climate Pledge Arena | Seattle,NA,0,,NA,,NA,,NA,,NA
327,8,"Saturday, April 25, 2026",Vancouver Goldeneyes,Minnesota Frost,0,0,NA,,NA,Pacific Coliseum | Vancouver,NA,0,,NA,,NA,,NA,,NA
