season_id,season_name,shortname,playoff,career,sopt_track_faceoffs,max_start_date,veteran_status,veteran,jersey_number,goals,games_played,assists,points,plus_minus,penalty_minutes,power_play_goals,power_play_assists,shots,shootout_attempts,shootout_goals,shootout_percentage,shooting_percentage,shootout_winning_goals,points_per_game,short_handed_goals,short_handed_assists,game_winning_goals,game_tieing_goals,faceoff_wins,faceoff_attempts,faceoff_pct,hits,team_name,team_code,team_city,team_nickname,team_id,active,first_goals,insurance_goals,overtime_goals,unassisted_goals,empty_net_goals,penalty_minutes_per_game,division,ice_time,ice_time_minutes_seconds,shots_blocked_by_player,stat_type,player_id
4,2024-25 Preseason,2024-25 Preseason,0,0,1,2024-11-01,1,*,77,0,2,0,0,-1,0,0,0,3,0,0,0.0,0.0,0,0.00,0,0,0,0,19,38,50.0,0,Boston Fleet,BOS,Boston,Fleet,1,1,0,0,0,0,0,0,PWHL,2220,37:00,2,exhibition,78
2,2024 Preseason,2024 Preseason,0,0,1,2023-11-21,2,,77,1,2,2,3,3,0,0,0,6,1,0,0.0,16.7,0,1.50,0,0,0,0,0,0,0.0,0,PWHL Minnesota,MIN,Minnesota,PWHL Minnesota,2,1,0,1,0,0,0,0,PWHL,0,0:00,0,exhibition,78
13,Total,Total,0,0,NA,6072,4,NA,231,1,5,2,3,2,2,0,0,10,1,0,0.0,10.0,0,0.60,0,0,0,0,26,63,41.3,0,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0.40,NA,3521,58:41,2,exhibition,78
8,2025-26 Regular Season,2025-26 Reg,0,1,1,2025-11-21,2,,55,0,8,1,1,-3,0,0,0,3,0,0,0.0,0.0,0,0.13,0,0,0,0,0,0,0.0,5,Ottawa Charge,OTT,Ottawa,Charge,5,0,0,0,0,0,0,0,PWHL,5558,92:38,6,regular,108
5,2024-25 Regular Season,2024-25 Reg,0,1,1,2024-11-25,2,,5,0,4,0,0,-1,2,0,0,4,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,3,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0.500000,PWHL,1427,23:47,1,regular,108
1,2024 Regular Season,2024 Reg,0,1,1,2023-12-12,2,,55,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,PWHL Boston,BOS,Boston,Boston,1,0,0,0,0,0,0,0,PWHL,952,15:52,0,regular,108
1,2024 Regular Season,2024 Reg,0,1,1,2024-03-16,2,,5,0,7,0,0,1,0,0,0,1,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,4,PWHL Ottawa,OTT,Ottawa,Ottawa,5,1,0,0,0,0,0,0,PWHL,2583,43:03,3,regular,108
15,Total,Total,0,4,NA,8096,8,NA,120,0,22,1,1,-3,2,0,0,8,0,0,0.0,0.0,0,0.05,0,0,0,0,0,0,0.0,12,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.09,NA,10520,175:20,10,regular,108
6,2025 Playoffs,2025 Playoffs,1,1,1,2025-05-06,2,,5,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0,PWHL,0,0:00,0,playoff,108
6,Total,Total,1,1,NA,2025,2,NA,5,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.00,NA,0,0:00,0,playoff,108
7,2025-26 Preseason,2025-26 Preseason,0,0,1,2025-07-10,2,,55,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,4,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0,PWHL,1448,24:08,1,exhibition,108
4,2024-25 Preseason,2024-25 Preseason,0,0,1,2024-10-17,2,,5,0,1,0,0,1,0,0,0,3,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0,PWHL,760,12:40,0,exhibition,108
2,2024 Preseason,2024 Preseason,0,0,1,2023-12-04,2,,55,0,2,0,0,0,2,0,0,3,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,PWHL Boston,BOS,Boston,PWHL Boston,1,1,0,0,0,0,0,1.000000,PWHL,0,0:00,0,exhibition,108
13,Total,Total,0,0,NA,6072,6,NA,115,0,5,0,0,1,2,0,0,6,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,4,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.40,NA,2208,36:48,1,exhibition,108
1,2024 Regular Season,2024 Reg,0,1,1,2024-03-05,2,,20,0,9,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.00,0,0,0,0,1,1,100.0,5,PWHL Ottawa,OTT,Ottawa,Ottawa,5,1,0,0,0,0,0,0,PWHL,2528,42:08,0,regular,107
1,Total,Total,0,1,NA,2024,2,NA,20,0,9,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.00,0,0,0,0,1,1,100.0,5,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.00,NA,2528,42:08,0,regular,107
2,2024 Preseason,2024 Preseason,0,0,1,2023-12-04,2,,26,0,2,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,PWHL Boston,BOS,Boston,PWHL Boston,1,1,0,0,0,0,0,0,PWHL,0,0:00,0,exhibition,107
2,Total,Total,0,0,NA,2023,2,NA,26,0,2,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.00,NA,0,0:00,0,exhibition,107
