ward,name,Sector,Shape__Area,year,Mayor_Registered,Mayor_Votes,Mayor_Winner,Mayor_Win_Name,Council_Registered,Council_Votes,Council_Winner,Council_Win_Name
6,,,,2014,"19,470","8,382","5,745",Jim Watson,"19,470","8,504","5,182",Shad Qadri
7,,,,2014,"29,394","11,977","9,140",Jim Watson,"29,394","12,300","5,750",Mark Taylor
8,,,,2014,"36,226","12,923","9,627",Jim Watson,"36,226","13,639","9,601",Rick Chiarelli
9,,,,2014,"27,354","9,443","6,946",Jim Watson,"27,354","9,735","7,128",Keith Egli
10,,,,2014,"30,359","10,800","8,259",Jim Watson,"30,359","11,109","6,251",Diane Deans
11,,,,2014,"23,238","8,605","6,815",Jim Watson,"23,238","8,722","7,162",Tim Tierney
12,,,,2014,"29,194","10,090","8,136",Jim Watson,"29,194","10,721","5,526",Mathieu Fleury
13,,,,2014,"26,339","10,068","8,138",Jim Watson,"26,339","10,270","4,846",Tobi Nussbaum
14,,,,2014,"25,533","9,168","7,563",Jim Watson,"25,533","9,960","3,997",Catherine McKenney
15,,,,2014,"28,685","13,166","10,979",Jim Watson,"28,685","13,651","7,557",Jeff Leiper
16,,,,2014,"31,359","10,932","8,501",Jim Watson,"31,359","10,986","3,997",Riley Brockington
17,,,,2014,"24,975","9,202","7,743",Jim Watson,"24,975","9,316","7,206",David Chernushenko
18,,,,2014,"29,758","11,085","8,766",Jim Watson,"29,758","11,179","5,295",Jean Cloutier
19,,,,2014,"32,105","11,239","8,845",Jim Watson,"32,105","12,105","9,446",Stephen Blais
20,,,,2014,"18,656","8,351","5,002",Jim Watson,"18,656","8,465","1,783",George Darouze
21,,,,2014,"19,524","8,144","4,771",Jim Watson,"19,524","8,251","5,137",Scott Moffatt
22,,,,2014,"26,907","10,476","7,848",Jim Watson,"26,907","10,726","4,138",Michael Qaqish
23,,,,2014,"31,909","11,445","8,444",Jim Watson,"31,909","11,466","9,710",Allan Hubley
1,,,,2010,"37,563","16,308","8,685",Jim Watson,"37,563","16,215","9,728",Bob Monette
2,,,,2010,"28,797","12,369","6,746",Jim Watson,"28,797","12,156","8,497",Rainer Bloess
3,,,,2010,"29,996","12,528","5,943",Jim Watson,"29,996","12,462","8,263",Jan Harder
4,,,,2010,"20,951","9,481","4,516",Jim Watson,"20,951","9,450","4,742",Marianne Wilkinson
5,,,,2010,"17,739","8,102","3,072",Larry O’Brien,"17,739","8,061","6,239",Eli El-Chantiry
6,,,,2010,"17,470","7,899","3,195",Jim Watson,"17,470","7,856","7,185",Shad Qadri
7,,,,2010,"28,528","14,527","7,285",Jim Watson,"28,528",,,
8,,,,2010,"36,845","16,410","7,668",Jim Watson,"36,845","16,067","10,531",Rick Chiarelli
9,,,,2010,"27,844","12,269","5,540",Jim Watson,"27,844","12,093","3,954",Keith Egli
10,,,,2010,"29,698","11,932","6,107",Jim Watson,"29,698","11,910","5,774",Diane Deans
11,,,,2010,"23,726","10,369","5,484",Jim Watson,"23,726","10,313","5,088",Tim Tierney
12,,,,2010,"27,343","10,585","5,784",Jim Watson,"27,343","10,304","4,708",Mathieu Fleury
13,,,,2010,"25,689","10,716","5,850",Jim Watson,"25,689","10,534","2,722",Peter Clark
14,,,,2010,"23,157","9,860","5,164",Jim Watson,"23,157","9,445","6,282",Diane Holmes
15,,,,2010,"27,798","14,111","7,034",Jim Watson,"27,798",,,
16,,,,2010,"30,699","12,830","6,539",Jim Watson,"30,699","12,588","7,496",Maria McRae
17,,,,2010,"25,229","13,218","6,543",Jim Watson,"25,229","12,905","5,335",David Chernushenko
18,,,,2010,"29,117","12,960","6,666",Jim Watson,"29,117","12,697","7,553",Peter Hume
19,,,,2010,"28,651","12,184","6,371",Jim Watson,"28,651","12,144","6,358",Stephen Blais
20,,,,2010,"18,095","8,037","3,039",Larry O’Brien,"18,095","8,018","5,393",Doug Thompson
21,,,,2010,"19,398","9,606","3,556",Larry O’Brien,"19,398","9,589","5,048",Scott Moffatt
22,,,,2010,"22,615","9,321","4,759",Jim Watson,"22,615","9,150","7,723",Steve Desroches
23,,,,2010,"30,409","14,018","6,495",Jim Watson,"30,409","13,901","6,783",Allan Hubley
