timestamp_utc,timestamp_local,lot_id,address,lot_type,capacity,free_spaces,free_accessible,occupancy_pct,downtown,error
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,3333,210 Gloucester St.,Enclosed,213,83,6,61.0,True,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,4,70 Clarence St.,Enclosed,289,149,1,48.4,True,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,5,141 Clarence St.,Enclosed,461,225,2,51.2,True,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,6,110 Laurier Ave.,Enclosed,850,190,3,77.6,True,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,8,170 Second Ave.,Enclosed,146,34,4,76.7,False,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,9,234-250 Slater St.,Surface,65,,N/A,,True,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,10,574 Bank St.,Surface,19,,N/A,,True,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,11,687 Somerset St. W,Surface,46,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,20,400 North River Rd.,Surface,79,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,22,283 Cyr Ave.,Surface,25,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,14,301 Preston St.,Surface,62,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,3333,210 Gloucester St.,Enclosed,213,85,6,60.1,True,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,4,70 Clarence St.,Enclosed,289,132,3,54.3,True,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,5,141 Clarence St.,Enclosed,461,211,3,54.2,True,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,6,110 Laurier Ave.,Enclosed,850,199,4,76.6,True,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,8,170 Second Ave.,Enclosed,146,34,6,76.7,False,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,9,234-250 Slater St.,Surface,65,,N/A,,True,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,10,574 Bank St.,Surface,19,,N/A,,True,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,11,687 Somerset St. W,Surface,46,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,20,400 North River Rd.,Surface,79,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,22,283 Cyr Ave.,Surface,25,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,14,301 Preston St.,Surface,62,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,3333,210 Gloucester St.,Enclosed,213,84,6,60.6,True,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,4,70 Clarence St.,Enclosed,289,174,3,39.8,True,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,5,141 Clarence St.,Enclosed,461,211,1,54.2,True,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,6,110 Laurier Ave.,Enclosed,850,234,4,72.5,True,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,8,170 Second Ave.,Enclosed,146,43,6,70.5,False,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,9,234-250 Slater St.,Surface,65,,N/A,,True,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,10,574 Bank St.,Surface,19,,N/A,,True,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,11,687 Somerset St. W,Surface,46,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,20,400 North River Rd.,Surface,79,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,22,283 Cyr Ave.,Surface,25,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,14,301 Preston St.,Surface,62,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,30,789 Trim Rd.,Surface,274,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,13,366 Parkdale Ave.,Surface,20,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,23,2950 Riverside Dr.,Surface,186,,N/A,,False,no freeSpaces in feed
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,18,422 Slater St.,Enclosed,10,,N/A,,True,no freeSpaces in feed
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,3333,210 Gloucester St.,Enclosed,213,86,6,59.6,True,
