timestamp_utc,timestamp_local,corridor_id,direction,travel_time_s,traffic_delay_s,distance_m,error
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,barrhaven,to_downtown,2354,0,23241,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,barrhaven,from_downtown,1707,0,29478,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,gatineau,to_downtown,1039,0,9007,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,gatineau,from_downtown,989,76,9462,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,riverside,to_downtown,1930,167,17546,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,riverside,from_downtown,1650,64,17322,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,kanata,to_downtown,1986,0,23915,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,kanata,from_downtown,1084,0,22526,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,orleans,to_downtown,1742,374,19953,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,orleans,from_downtown,1167,0,19244,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,barrhaven,to_downtown,2356,86,23241,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,barrhaven,from_downtown,1713,0,26635,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,gatineau,to_downtown,1034,0,9007,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,gatineau,from_downtown,917,0,9462,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,riverside,to_downtown,2012,329,17546,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,riverside,from_downtown,1575,0,17322,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,kanata,to_downtown,1987,43,23912,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,kanata,from_downtown,1175,106,22526,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,orleans,to_downtown,1670,308,19953,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,orleans,from_downtown,1162,0,19244,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,barrhaven,to_downtown,2313,110,23241,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,barrhaven,from_downtown,1759,15,22382,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,gatineau,to_downtown,1010,0,9007,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,gatineau,from_downtown,907,0,9462,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,riverside,to_downtown,1850,110,19265,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,riverside,from_downtown,1692,0,17287,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,kanata,to_downtown,1921,0,24468,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,kanata,from_downtown,1108,22,22526,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,orleans,to_downtown,1632,380,19517,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,orleans,from_downtown,1169,0,19244,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,barrhaven,to_downtown,2324,0,23546,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,barrhaven,from_downtown,1739,22,26858,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,gatineau,to_downtown,1009,0,9007,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,gatineau,from_downtown,917,0,9462,
