HOUSEID,FSA,PT,YearBuilt,FloorArea,BldgType,Storeys,FoundationType,Pre_Date,Post_Date,Pre_TotalEnergy,Post_TotalEnergy,Pre_HeatEnergy,Post_HeatEnergy,Pre_Electricity,Post_Electricity,Pre_NaturalGas,Post_NaturalGas,Pre_Oil,Post_Oil,Pre_Propane,Post_Propane,Pre_Wood,Post_Wood,Pre_AirLeakage,Post_AirLeakage,Pre_RoofInsulation,Post_RoofInsulation,Pre_WallInsulation,Post_WallInsulation,Pre_FoundationInsulation,Post_FoundationInsulation,Pre_FloorInsulation,Post_FloorInsulation,Pre_WindowCode,Post_WindowCode,Pre_HeatFuel,Post_HeatFuel,Pre_HeatType,Post_HeatType,Pre_HeatAFUE,Post_HeatAFUE,Pre_HeatSeasonalCOP,Post_HeatSeasonalCOP,Pre_HPType,Post_HPType,Pre_HPCOP,Post_HPCOP,Wall_Insulation_Upgrade,Roof_Insulation_Upgrade,Foundation_Insulation_Upgrade,Floor_Insulation_Upgrade,Windows_Change,Air_Tightness_Upgrade,Heating_Change,Cooling_Change,HeatPump_Addition,Shallow_Retrofit,Medium_Retrofit,Deep_Retrofit,EnergySavingPct,HeatEnergySavingPct,FuelSwitch
318381.0,C0A,PE,1981,315.2,Single detached,Two storeys,B1,2007-08-01,2008-10-01,62642.64,58489.55,42851.48,38945.95,9623.5,9423.4,0.0,0.0,49066.08,45356.34,0.0,0.0,1666.68,1666.68,4.05,2.6299,3.29,6.2,2.73,2.73,0.12,0.17,0.0,0.0,202002,213224,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,79.1,75.9,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,True,True,False,False,False,True,False,False,0.07,0.09,False
322788.0,C1E,PE,1984,284.8,Single detached,Two storeys,B1,2007-08-01,2008-11-01,57120.79,50143.46,33808.13,26895.02,9274.3,9238.7,0.0,0.0,43202.1,36612.9,2514.82,2486.46,0.0,0.0,4.77,4.1941,3.28,5.55,2.92,2.92,3.37,3.68,4.0,4.0,200004,200004,Oil,Oil,Boiler  with flame retention head,Mid-efficiency boiler  (no dil. air),80.0,86.8,79.4,84.4,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,False,False,False,True,True,False,False,False,True,False,0.12,0.2,False
291922.0,C1A,PE,1942,260.2,Single detached,Two storeys,B1;C1;F1,2007-06-01,2008-12-01,82228.13,63619.59,61009.13,44273.77,9702.2,9469.2,0.0,0.0,69129.48,49903.5,0.0,1790.02,0.0,0.0,6.8525,4.508,2.19,5.99,1.76,1.77,0.12,1.46,0.0,0.0,200212,100012,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,86.0,79.9,82.9,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,True,True,False,False,False,False,True,False,0.23,0.27,False
295765.0,C1A,PE,1840,203.3,Single detached,Two storeys,B1;C1;C2;F1,2007-07-01,2009-01-01,125188.45,54302.38,106221.38,36370.85,10405.5,9324.1,0.0,0.0,109407.24,42871.62,0.0,0.0,0.0,0.0,23.7,7.4165,0.39,5.59,0.67,1.71,0.08,0.08,0.0,0.0,200004,200004,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,80.2,80.3,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,False,False,False,True,False,False,False,False,False,True,0.57,0.66,False
335336.0,C0A,PE,1880,274.0,Single detached,Two storeys,B1,2007-11-01,2009-04-01,83113.66,65146.13,64718.93,47092.24,9761.8,9489.6,0.0,0.0,69915.9,53049.18,0.0,0.0,0.0,0.0,9.27,8.7229,1.92,4.9,2.31,2.31,0.05,2.1,0.0,0.0,200002,200002,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,80.1,80.2,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,False,False,False,False,False,False,True,False,0.22,0.27,False
299790.0,C0A,PE,1920,213.8,Single detached,Two storeys,B1,2007-08-01,2009-02-01,72131.55,61160.6,54023.68,43123.71,9469.2,9436.3,0.0,0.0,59713.86,49288.44,0.0,0.0,0.0,0.0,8.07,6.6339,3.43,3.43,2.96,2.96,0.44,0.67,0.0,0.0,100002,100002,Oil,Oil,Furnace,Mid-efficiency furnace (no dil. air),0.0,85.0,68.1,81.1,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,True,False,False,True,True,False,False,False,True,False,0.15,0.2,False
299433.0,C1N,PE,1969,210.3,Single detached,One storey,B1,2007-05-01,2008-08-01,53290.12,39724.23,32688.12,18636.9,8999.1,8960.5,0.0,0.0,42134.16,28741.56,0.0,0.0,0.0,416.67,2.47,2.4876,4.61,9.86,2.1,3.15,1.42,1.42,0.0,0.0,100002,213214,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.1,80.1,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,False,False,True,False,False,False,False,False,True,False,0.25,0.43,False
299435.0,C1A,PE,1900,296.0,Single detached,One storey,B1,2007-06-01,2008-04-01,100575.05,94142.25,61881.22,55332.55,8760.0,8760.0,0.0,0.0,58982.52,52741.14,8242.32,8210.41,23333.52,23333.52,13.2645,7.9079,3.03,3.03,2.31,2.31,0.04,0.56,2.26,2.26,100020,213224,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,67.1,65.9,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,0.06,0.11,False
341230.0,C0A,PE,1867,232.7,Single detached,Two storeys,B1,2007-12-01,2009-06-01,90219.47,69045.3,53331.4,33689.02,9621.6,9278.8,0.0,0.0,59044.74,40313.46,0.0,0.0,20000.16,18750.15,8.01,6.4541,0.91,3.97,0.98,1.38,0.05,0.9,3.8,3.8,234004,234004,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,71.9,69.7,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,True,False,False,True,False,False,False,False,True,False,0.23,0.37,False
307804.0,C1N,PE,2004,198.2,Single detached,One storey,B1,2007-08-01,2008-11-01,41737.95,18742.68,11746.71,4081.92,26105.4,18698.3,0.0,0.0,0.0,0.0,0.0,0.0,13333.44,0.0,5.2,5.1706,3.66,3.66,2.7,2.7,2.14,2.14,0.0,0.0,233024,213214,Electricity,Electricity,Baseboard/Hydronic/Plenum(duct) htrs.,Baseboard/Hydronic/Plenum(duct) htrs.,0.0,0.0,100.0,363.9,N/A {no Heat Pump},Water,0.0,4.7,False,False,False,False,True,False,False,False,True,False,False,True,0.55,0.65,False
