ObjectId,Data_Type,Location,Camera_Install_Year,Date_of_Data_Collection,AvgSpeed,Pct85th,PctCompliance,PctHighEndSpeeders
50,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Jan-21","N/A",0,0,0
51,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Aug-23","46",52,79,0.6
52,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Aug-23","38",42,78,1
53,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Sep-23","37",41,84,0.3
54,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Sep-23","56",62,78,0.6
55,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Sep-23","36",43,78,0.8
56,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Sep-23","37",43,77,1.7
57,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Sep-23","37",41,83,0.4
58,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Sep-23","46",52,78,0.8
59,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Sep-23","44",51,84,0.4
60,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Sep-23","37",41,82,0.7
61,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Oct-23","36",41,84,0.3
62,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Oct-23","56",62,79,0.6
63,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Oct-23","36",42,78,0.8
64,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Oct-23","37",43,76,1.8
65,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Oct-23","37",41,82,0.4
66,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Oct-23","46",52,78,0.7
67,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Oct-23","44",51,84,0.4
68,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Oct-23","36",41,83,0.6
69,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Nov-23","36",40,86,0.2
70,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Nov-23","55",61,82,0.5
71,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Nov-23","35",42,81,0.6
72,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Nov-23","37",43,77,1.8
73,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Nov-23","37",41,82,0.5
74,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Nov-23","46",52,79,0.6
