FSA,Bracket,Number
C1C,"$80,000 to $89,999",150
C1C,"$90,000 to $99,999",80
C1C,"$100,000 to $149,999",140
C1C,"$150,000 to $249,999",40
C1C,"$250,000 and over",10
C1E,"Under $5,000",810
C1E,"$5,000 to $9,999",540
C1E,"$10,000 to $14,999",600
C1E,"$15,000 to $19,999",670
C1E,"$20,000 to $24,999",720
C1E,"$25,000 to $29,999",650
C1E,"$30,000 to $34,999",650
C1E,"$35,000 to $39,999",600
C1E,"$40,000 to $44,999",540
C1E,"$45,000 to $49,999",530
C1E,"$50,000 to $54,999",450
C1E,"$55,000 to $59,999",440
C1E,"$60,000 to $69,999",670
C1E,"$70,000 to $79,999",520
C1E,"$80,000 to $89,999",390
C1E,"$90,000 to $99,999",270
C1E,"$100,000 to $149,999",490
