,Freehold Sales,,,,,,,Condo Sales,,,,,,
Date,$0 - $249K,$250K - $499K,$500K - $749K,$750K - $999k,$1M - $1.999M,$2M+,Total,$0 - $249K,$250K - $499K,$500K - $749K,$750K - $999k,$1M - $1.999M,$2M+,Total
16-Jun-2025,1,8,114,75,38,3,239,3,52,11,2,0,0,68
23-Jun-2025,1,4,109,83,51,4,252,3,56,12,1,1,0,73
30-Jun-2025,0,12,113,89,35,2,251,1,52,11,0,1,0,65
7-Jul-2025,2,5,82,43,30,3,165,2,45,13,,2,0,62
14-Jul-2025,0,4,103,59,32,1,199,2,48,13,1,1,0,65
21-Jul-2025,0,3,108,37,27,0,175,3,49,8,1,0,0,61
28-Jul-2025,1,5,84,47,27,2,166,1,48,10,1,0,0,60
4-Aug-2025,2,10,82,61,2,1,158,1,45,6,1,1,0,54
11-Aug-2025,0,8,67,35,24,1,135,2,30,8,0,3,0,43
18-Aug-2025,1,7,104,52,29,2,195,5,53,5,3,0,0,66
25-Aug-2025,3,11,103,43,21,0,181,3,47,9,2,1,0,62
1-Sep-2025,2,6,78,49,27,1,163,3,56,8,0,0,0,67
8-Sep-2025,2,9,59,33,23,2,128,1,31,9,0,0,0,41
15-Sep-2025,1,5,99,58,24,2,189,3,43,14,4,0,0,64
22-Sep-2025,2,4,98,46,22,2,174,3,45,8,2,0,0,58
29-Sep-2025,1,7,102,42,26,3,181,1,44,13,2,2,0,62
6-Oct-2025,0,7,98,38,28,3,174,0,46,12,3,1,0,62
13-Oct-2025,0,6,85,42,31,2,166,2,32,9,3,1,0,47
20-Oct-2025,0,9,84,38,24,2,157,0,32,6,1,1,0,40
27-Oct-2025,1,8,95,44,19,6,173,1,50,5,1,0,0,57
3-Nov-2025,0,5,94,45,24,2,170,0,38,5,0,1,0,44
10-Nov-2025,0,13,98,33,24,3,171,3,53,7,2,0,1,66
17-Nov-2025,2,6,72,29,15,2,126,2,31,8,1,1,0,43
24-Nov-2025,0,6,65,40,15,3,129,1,32,6,0,1,0,40
1-Dec-2025,1,4,67,20,14,2,108,2,35,10,2,0,0,49
8-Dec-2025,0,9,62,23,10,1,105,2,26,2,1,2,0,33
15-Dec-2025,0,9,54,23,13,1,100,0,31,2,3,0,0,36
22-Dec-2025,0,8,61,16,12,1,98,3,26,6,2,0,0,37
29-Dec-2025,0,4,30,8,5,0,47,0,17,1,0,0,0,18
5-Jan-2026,0,3,16,12,3,0,34,1,9,3,0,0,0,13
12-Jan-2026,1,4,43,18,7,2,75,3,16,3,0,0,0,22
19-Jan-2026,0,7,55,22,8,0,92,1,30,1,0,0,0,32
26-Jan-2026,2,3,59,38,10,0,112,1,42,3,0,0,0,46
2-Feb-2026,1,8,92,34,10,1,146,1,48,5,0,1,0,55
9-Feb-2026,1,10,74,32,19,1,137,3,39,6,1,1,0,50
16-Feb-2026,0,9,62,25,12,2,110,2,40,10,0,0,0,52
23-Feb-2026,0,7,60,33,22,2,124,3,40,6,0,1,0,50
2-Mar-2026,1,7,72,41,23,0,144,3,50,9,3,0,0,65
9-Mar-2026,1,3,65,38,27,0,134,5,33,10,1,0,0,49
16-Mar-2026,0,2,95,48,25,7,177,1,42,11,1,1,0,56
23-Mar-2026,2,4,94,59,25,3,187,3,39,11,0,1,0,54
30-Mar-2026,0,10,79,49,22,0,160,1,48,5,1,0,0,55
6-Apr-2026,1,4,73,34,25,0,137,2,34,7,6,0,0,49
13-Apr-2026,1,4,72,56,32,2,167,1,45,4,0,1,0,51
20-Apr-2026,0,7,119,53,29,1,209,2,54,17,3,1,0,77
27-Apr-2026,0,5,108,48,51,2,214,1,57,7,2,1,0,68
4-May-2026,1,7,99,70,45,3,225,6,49,6,3,1,0,65
11-May-2026,0,5,117,90,37,2,251,4,42,10,4,1,0,61
18-May-2026,0,6,132,56,57,3,254,5,49,16,2,3,0,75
25-May-2026,0,10,88,59,31,4,192,1,48,12,2,1,0,64
1-Jun-2026,1,9,122,76,50,4,262,5,62,12,2,1,0,82
8-Jun-2026,0,13,105,65,48,3,234,3,52,6,1,0,0,62
15-Jun-2026,0,9,98,69,46,3,225,4,47,16,3,2,0,72
22-Jun-2026,0,14,116,70,41,6,247,4,45,16,3,1,1,70
29-Jun-2026,0,12,106,63,25,2,208,5,44,2,2,0,0,53
6-Jul-2026,2,8,85,38,25,1,159,2,46,7,0,0,0,55
13-Jul-2026,1,12,100,60,20,3,196,2,54,9,0,3,0,68
