Date,Property Type,No. Of Active Listings,No. Of Conditional Sales,No. Of Sold Properties, Average List Price , Average Sold Price ,Average List/Sold %,Average DOM,Average CDOM, Median List Price , Median Sold Price ,Median List/ Sold %,Median DOM,Median CDOM
23-Mar-26,Freehold,240,135,187," $ 815,483 "," $ 799,988 ",98.10%,37,," $ 735,000 "," $ 721,108 ",98.11%,19,
30-Mar-26,Freehold,350,150,160," $ 781,278 "," $ 768,169 ",98.32%,30,," $ 732,400 "," $ 720,000 ",98.31%,19,
06-Apr-26,Freehold,307,194,137," $ 787,186 "," $ 783,542 ",99.54%,29,," $ 725,000 "," $ 727,500 ",100.34%,17,
13-Apr-26,Freehold,445,181,167," $ 857,357 "," $ 840,391 ",98.02%,35,," $ 772,400 "," $ 765,000 ",99.04%,19,
20-Apr-26,Freehold,415,205,209," $ 786,543 "," $ 774,756 ",98.50%,26,," $ 699,900 "," $ 700,000 ",100.01%,16,
27-Apr-26,Freehold,439,202,214," $ 878,885 "," $ 867,337 ",98.69%,35,," $ 749,450 "," $ 730,000 ",97.40%,16,
04-May-26,Freehold,466,199,225," $ 840,075 "," $ 829,674 ",98.76%,30,," $ 776,950 "," $ 759,000 ",97.69%,15,
11-May-26,Freehold,458,231,251," $ 821,452 "," $ 813,161 ",98.99%,27,," $ 750,000 "," $ 756,000 ",100.80%,14,
18-May-26,Freehold,418,198,254," $ 858,270 "," $ 851,928 ",99.26%,28,," $ 729,950 "," $ 723,500 ",99.12%,15,
25-May-26,Freehold,457,231,192," $ 832,488 "," $ 826,254 ",99.25%,28,," $ 739,950 "," $ 730,000 ",98.66%,16,
01-Jun-26,Freehold,472,203,262," $ 846,647 "," $ 836,350 ",98.78%,28,," $ 749,900 "," $ 745,000 ",99.35%,17,
08-Jun-26,Freehold,491,229,234," $ 850,282 "," $ 841,339 ",98.95%,28,," $ 749,450 "," $ 746,250 ",99.57%,16,
15-Jun-26,Freehold,461,219,225," $ 874,365 "," $ 859,985 ",98.36%,26,," $ 799,000 "," $ 775,000 ",97.00%,18,
22-Jun-26,Freehold,456,210,247," $ 850,066 "," $ 841,273 ",98.97%,25,," $ 749,800 "," $ 733,032 ",97.76%,19,
29-Jun-26,Freehold,358,204,208," $ 776,748 "," $ 763,748 ",98.33%,31,," $ 712,500 "," $ 702,500 ",98.60%,20,
06-Jul-26,Freehold,279,189,159," $ 805,392 "," $ 790,517 ",98.15%,31,," $ 715,000 "," $ 699,000 ",97.76%,21,
13-Jul-26,Freehold,416,173,196," $ 784,790 "," $ 770,101 ",98.13%,35,," $ 699,950 "," $ 683,000 ",97.58%,23,
