FSA,Bracket,Number
A0J,"$40,000 to $45,000",310
A0J,"$45,000 to $50,000",340
A0J,"$50,000 to $55,000",220
A0J,"$55,000 to $60,000",200
A0J,"$60,000 to $70,000",310
A0J,"$70,000 to $80,000",220
A0J,"$80,000 to $90,000",200
A0J,"$90,000 to $100,000",160
A0J,"$100,000 to $150,000",320
A0J,"$150,000 to $250,000",140
A0J,"over $250,000",30
A0K,"Under $5,000",780
A0K,"$5,000  to $10,000",740
A0K,"$10,000 to $15,000",1610
A0K,"$15,000 to $20,000",2180
A0K,"$20,000 to $25,000",2480
A0K,"$25,000 to $30,000",2040
A0K,"$30,000 to $35,000",1970
A0K,"$35,000 to $40,000",1730
A0K,"$40,000 to $45,000",1410
A0K,"$45,000 to $50,000",1260
A0K,"$50,000 to $55,000",920
A0K,"$55,000 to $60,000",820
A0K,"$60,000 to $70,000",1200
A0K,"$70,000 to $80,000",880
A0K,"$80,000 to $90,000",610
A0K,"$90,000 to $100,000",510
A0K,"$100,000 to $150,000",1050
A0K,"$150,000 to $250,000",260
A0K,"over $250,000",80
A0L,"Under $5,000",290
A0L,"$5,000  to $10,000",230
A0L,"$10,000 to $15,000",430
A0L,"$15,000 to $20,000",540
A0L,"$20,000 to $25,000",630
A0L,"$25,000 to $30,000",520
A0L,"$30,000 to $35,000",540
A0L,"$35,000 to $40,000",500
A0L,"$40,000 to $45,000",450
A0L,"$45,000 to $50,000",420
A0L,"$50,000 to $55,000",320
A0L,"$55,000 to $60,000",270
A0L,"$60,000 to $70,000",430
A0L,"$70,000 to $80,000",350
A0L,"$80,000 to $90,000",250
A0L,"$90,000 to $100,000",210
A0L,"$100,000 to $150,000",320
A0L,"$150,000 to $250,000",80
A0L,"over $250,000",30
A0M,"Under $5,000",210
A0M,"$5,000  to $10,000",190
A0M,"$10,000 to $15,000",380
A0M,"$15,000 to $20,000",450
A0M,"$20,000 to $25,000",560
A0M,"$25,000 to $30,000",510
A0M,"$30,000 to $35,000",450
A0M,"$35,000 to $40,000",330
A0M,"$40,000 to $45,000",300
A0M,"$45,000 to $50,000",230
A0M,"$50,000 to $55,000",180
A0M,"$55,000 to $60,000",200
A0M,"$60,000 to $70,000",310
A0M,"$70,000 to $80,000",260
A0M,"$80,000 to $90,000",180
A0M,"$90,000 to $100,000",150
A0M,"$100,000 to $150,000",230
A0M,"$150,000 to $250,000",50
A0M,"over $250,000",20
A0N,"Under $5,000",660
A0N,"$5,000  to $10,000",600
A0N,"$10,000 to $15,000",1140
A0N,"$15,000 to $20,000",1570
A0N,"$20,000 to $25,000",1510
A0N,"$25,000 to $30,000",1180
A0N,"$30,000 to $35,000",1070
A0N,"$35,000 to $40,000",970
A0N,"$40,000 to $45,000",720
A0N,"$45,000 to $50,000",530
A0N,"$50,000 to $55,000",410
A0N,"$55,000 to $60,000",360
A0N,"$60,000 to $70,000",470
A0N,"$70,000 to $80,000",370
A0N,"$80,000 to $90,000",230
A0N,"$90,000 to $100,000",200
A0N,"$100,000 to $150,000",320
A0N,"$150,000 to $250,000",70
A0N,"over $250,000",20
A0P,"Under $5,000",1130
A0P,"$5,000  to $10,000",470
A0P,"$10,000 to $15,000",510
A0P,"$15,000 to $20,000",550
A0P,"$20,000 to $25,000",650
A0P,"$25,000 to $30,000",510
A0P,"$30,000 to $35,000",470
A0P,"$35,000 to $40,000",450
A0P,"$40,000 to $45,000",430
A0P,"$45,000 to $50,000",480
A0P,"$50,000 to $55,000",450
A0P,"$55,000 to $60,000",390
A0P,"$60,000 to $70,000",650
A0P,"$70,000 to $80,000",550
A0P,"$80,000 to $90,000",480
A0P,"$90,000 to $100,000",410
A0P,"$100,000 to $150,000",1040
A0P,"$150,000 to $250,000",270
A0P,"over $250,000",80
A0R,"Under $5,000",120
A0R,"$5,000  to $10,000",60
A0R,"$10,000 to $15,000",60
A0R,"$15,000 to $20,000",60
A0R,"$20,000 to $25,000",70
A0R,"$25,000 to $30,000",90
A0R,"$30,000 to $35,000",70
A0R,"$35,000 to $40,000",90
A0R,"$40,000 to $45,000",70
A0R,"$45,000 to $50,000",60
A0R,"$50,000 to $55,000",60
A0R,"$55,000 to $60,000",60
A0R,"$60,000 to $70,000",100
A0R,"$70,000 to $80,000",90
A0R,"$80,000 to $90,000",70
A0R,"$90,000 to $100,000",100
A0R,"$100,000 to $150,000",460
A0R,"$150,000 to $250,000",310
A0R,"over $250,000",10
A1A,"Under $5,000",1480
A1A,"$5,000  to $10,000",930
A1A,"$10,000 to $15,000",1170
A1A,"$15,000 to $20,000",1290
A1A,"$20,000 to $25,000",1620
A1A,"$25,000 to $30,000",1370
A1A,"$30,000 to $35,000",1330
A1A,"$35,000 to $40,000",1300
A1A,"$40,000 to $45,000",1140
A1A,"$45,000 to $50,000",1330
A1A,"$50,000 to $55,000",1030
A1A,"$55,000 to $60,000",890
A1A,"$60,000 to $70,000",1580
A1A,"$70,000 to $80,000",1440
A1A,"$80,000 to $90,000",1210
A1A,"$90,000 to $100,000",950
A1A,"$100,000 to $150,000",2270
A1A,"$150,000 to $250,000",1010
A1A,"over $250,000",630
A1B,"Under $5,000",1860
A1B,"$5,000  to $10,000",950
A1B,"$10,000 to $15,000",1190
A1B,"$15,000 to $20,000",1180
A1B,"$20,000 to $25,000",1320
A1B,"$25,000 to $30,000",1100
A1B,"$30,000 to $35,000",970
A1B,"$35,000 to $40,000",890
A1B,"$40,000 to $45,000",740
A1B,"$45,000 to $50,000",770
A1B,"$50,000 to $55,000",620
A1B,"$55,000 to $60,000",530
A1B,"$60,000 to $70,000",900
A1B,"$70,000 to $80,000",740
A1B,"$80,000 to $90,000",630
A1B,"$90,000 to $100,000",470
A1B,"$100,000 to $150,000",1140
A1B,"$150,000 to $250,000",520
A1B,"over $250,000",320
A1C,"Under $5,000",780
A1C,"$5,000  to $10,000",630
A1C,"$10,000 to $15,000",910
A1C,"$15,000 to $20,000",880
A1C,"$20,000 to $25,000",1000
A1C,"$25,000 to $30,000",730
A1C,"$30,000 to $35,000",650
A1C,"$35,000 to $40,000",590
A1C,"$40,000 to $45,000",530
A1C,"$45,000 to $50,000",450
A1C,"$50,000 to $55,000",380
A1C,"$55,000 to $60,000",340
A1C,"$60,000 to $70,000",510
A1C,"$70,000 to $80,000",460
A1C,"$80,000 to $90,000",360
A1C,"$90,000 to $100,000",300
A1C,"$100,000 to $150,000",640
A1C,"$150,000 to $250,000",280
A1C,"over $250,000",170
A1E,"Under $5,000",1270
A1E,"$5,000  to $10,000",960
A1E,"$10,000 to $15,000",1450
A1E,"$15,000 to $20,000",1660
A1E,"$20,000 to $25,000",2110
A1E,"$25,000 to $30,000",1630
A1E,"$30,000 to $35,000",1510
A1E,"$35,000 to $40,000",1360
A1E,"$40,000 to $45,000",1310
A1E,"$45,000 to $50,000",1220
A1E,"$50,000 to $55,000",1010
A1E,"$55,000 to $60,000",860
A1E,"$60,000 to $70,000",1420
A1E,"$70,000 to $80,000",1080
A1E,"$80,000 to $90,000",890
A1E,"$90,000 to $100,000",680
A1E,"$100,000 to $150,000",1290
A1E,"$150,000 to $250,000",440
A1E,"over $250,000",220
A1G,"Under $5,000",200
A1G,"$5,000  to $10,000",170
A1G,"$10,000 to $15,000",260
A1G,"$15,000 to $20,000",310
A1G,"$20,000 to $25,000",360
A1G,"$25,000 to $30,000",340
A1G,"$30,000 to $35,000",320
A1G,"$35,000 to $40,000",320
A1G,"$40,000 to $45,000",310
A1G,"$45,000 to $50,000",280
A1G,"$50,000 to $55,000",250
A1G,"$55,000 to $60,000",200
A1G,"$60,000 to $70,000",320
A1G,"$70,000 to $80,000",260
A1G,"$80,000 to $90,000",200
A1G,"$90,000 to $100,000",180
A1G,"$100,000 to $150,000",330
A1G,"$150,000 to $250,000",100
A1G,"over $250,000",30
A1H,"Under $5,000",210
A1H,"$5,000  to $10,000",150
A1H,"$10,000 to $15,000",170
A1H,"$15,000 to $20,000",180
A1H,"$20,000 to $25,000",210
A1H,"$25,000 to $30,000",210
A1H,"$30,000 to $35,000",180
A1H,"$35,000 to $40,000",180
A1H,"$40,000 to $45,000",170
A1H,"$45,000 to $50,000",210
A1H,"$50,000 to $55,000",220
A1H,"$55,000 to $60,000",180
A1H,"$60,000 to $70,000",310
A1H,"$70,000 to $80,000",360
A1H,"$80,000 to $90,000",310
A1H,"$90,000 to $100,000",330
A1H,"$100,000 to $150,000",690
A1H,"$150,000 to $250,000",350
A1H,"over $250,000",150
A1K,"Under $5,000",430
A1K,"$5,000  to $10,000",360
A1K,"$10,000 to $15,000",420
A1K,"$15,000 to $20,000",520
A1K,"$20,000 to $25,000",620
A1K,"$25,000 to $30,000",570
A1K,"$30,000 to $35,000",540
A1K,"$35,000 to $40,000",610
A1K,"$40,000 to $45,000",520
A1K,"$45,000 to $50,000",570
A1K,"$50,000 to $55,000",480
A1K,"$55,000 to $60,000",420
A1K,"$60,000 to $70,000",740
A1K,"$70,000 to $80,000",640
A1K,"$80,000 to $90,000",540
A1K,"$90,000 to $100,000",450
A1K,"$100,000 to $150,000",1030
A1K,"$150,000 to $250,000",470
A1K,"over $250,000",210
A1L,"Under $5,000",750
A1L,"$5,000  to $10,000",550
A1L,"$10,000 to $15,000",720
A1L,"$15,000 to $20,000",770
A1L,"$20,000 to $25,000",970
A1L,"$25,000 to $30,000",880
A1L,"$30,000 to $35,000",800
A1L,"$35,000 to $40,000",850
A1L,"$40,000 to $45,000",840
A1L,"$45,000 to $50,000",1010
A1L,"$50,000 to $55,000",800
A1L,"$55,000 to $60,000",760
A1L,"$60,000 to $70,000",1310
A1L,"$70,000 to $80,000",1190
A1L,"$80,000 to $90,000",1020
A1L,"$90,000 to $100,000",990
A1L,"$100,000 to $150,000",1960
A1L,"$150,000 to $250,000",740
A1L,"over $250,000",240
A1M,"Under $5,000",370
A1M,"$5,000  to $10,000",230
A1M,"$10,000 to $15,000",310
A1M,"$15,000 to $20,000",370
A1M,"$20,000 to $25,000",470
A1M,"$25,000 to $30,000",360
A1M,"$30,000 to $35,000",330
A1M,"$35,000 to $40,000",330
A1M,"$40,000 to $45,000",350
A1M,"$45,000 to $50,000",330
A1M,"$50,000 to $55,000",310
A1M,"$55,000 to $60,000",280
A1M,"$60,000 to $70,000",480
A1M,"$70,000 to $80,000",450
A1M,"$80,000 to $90,000",350
A1M,"$90,000 to $100,000",310
A1M,"$100,000 to $150,000",650
A1M,"$150,000 to $250,000",350
A1M,"over $250,000",160
A1N,"Under $5,000",830
A1N,"$5,000  to $10,000",580
A1N,"$10,000 to $15,000",970
A1N,"$15,000 to $20,000",1160
A1N,"$20,000 to $25,000",1480
A1N,"$25,000 to $30,000",1330
A1N,"$30,000 to $35,000",1340
A1N,"$35,000 to $40,000",1310
A1N,"$40,000 to $45,000",1190
A1N,"$45,000 to $50,000",1240
A1N,"$50,000 to $55,000",990
A1N,"$55,000 to $60,000",930
A1N,"$60,000 to $70,000",1430
A1N,"$70,000 to $80,000",1100
A1N,"$80,000 to $90,000",890
A1N,"$90,000 to $100,000",680
A1N,"$100,000 to $150,000",1210
A1N,"$150,000 to $250,000",400
A1N,"over $250,000",180
A1S,"Under $5,000",230
A1S,"$5,000  to $10,000",200
A1S,"$10,000 to $15,000",330
A1S,"$15,000 to $20,000",380
A1S,"$20,000 to $25,000",460
A1S,"$25,000 to $30,000",410
A1S,"$30,000 to $35,000",370
A1S,"$35,000 to $40,000",350
A1S,"$40,000 to $45,000",340
A1S,"$45,000 to $50,000",350
A1S,"$50,000 to $55,000",260
A1S,"$55,000 to $60,000",240
A1S,"$60,000 to $70,000",390
A1S,"$70,000 to $80,000",300
A1S,"$80,000 to $90,000",240
A1S,"$90,000 to $100,000",210
A1S,"$100,000 to $150,000",350
A1S,"$150,000 to $250,000",140
A1S,"over $250,000",40
A1V,"Under $5,000",440
A1V,"$5,000  to $10,000",370
A1V,"$10,000 to $15,000",580
A1V,"$15,000 to $20,000",580
A1V,"$20,000 to $25,000",800
A1V,"$25,000 to $30,000",720
A1V,"$30,000 to $35,000",690
A1V,"$35,000 to $40,000",610
A1V,"$40,000 to $45,000",540
A1V,"$45,000 to $50,000",540
A1V,"$50,000 to $55,000",430
A1V,"$55,000 to $60,000",380
A1V,"$60,000 to $70,000",650
A1V,"$70,000 to $80,000",500
A1V,"$80,000 to $90,000",410
A1V,"$90,000 to $100,000",400
A1V,"$100,000 to $150,000",700
A1V,"$150,000 to $250,000",310
A1V,"over $250,000",110
A1W,"Under $5,000",460
A1W,"$5,000  to $10,000",300
A1W,"$10,000 to $15,000",440
A1W,"$15,000 to $20,000",540
A1W,"$20,000 to $25,000",690
A1W,"$25,000 to $30,000",560
A1W,"$30,000 to $35,000",550
A1W,"$35,000 to $40,000",530
A1W,"$40,000 to $45,000",490
A1W,"$45,000 to $50,000",520
A1W,"$50,000 to $55,000",480
A1W,"$55,000 to $60,000",400
A1W,"$60,000 to $70,000",690
A1W,"$70,000 to $80,000",540
A1W,"$80,000 to $90,000",470
A1W,"$90,000 to $100,000",410
A1W,"$100,000 to $150,000",840
A1W,"$150,000 to $250,000",300
A1W,"over $250,000",130
A1X,"Under $5,000",600
A1X,"$5,000  to $10,000",420
A1X,"$10,000 to $15,000",710
A1X,"$15,000 to $20,000",820
A1X,"$20,000 to $25,000",1000
A1X,"$25,000 to $30,000",870
A1X,"$30,000 to $35,000",800
A1X,"$35,000 to $40,000",770
A1X,"$40,000 to $45,000",690
A1X,"$45,000 to $50,000",690
A1X,"$50,000 to $55,000",630
A1X,"$55,000 to $60,000",540
A1X,"$60,000 to $70,000",940
A1X,"$70,000 to $80,000",740
A1X,"$80,000 to $90,000",620
A1X,"$90,000 to $100,000",530
A1X,"$100,000 to $150,000",870
A1X,"$150,000 to $250,000",290
A1X,"over $250,000",70
A1Y,"Under $5,000",210
A1Y,"$5,000  to $10,000",180
A1Y,"$10,000 to $15,000",340
A1Y,"$15,000 to $20,000",480
A1Y,"$20,000 to $25,000",560
A1Y,"$25,000 to $30,000",410
A1Y,"$30,000 to $35,000",370
A1Y,"$35,000 to $40,000",320
A1Y,"$40,000 to $45,000",280
A1Y,"$45,000 to $50,000",250
A1Y,"$50,000 to $55,000",190
A1Y,"$55,000 to $60,000",160
A1Y,"$60,000 to $70,000",230
A1Y,"$70,000 to $80,000",170
A1Y,"$80,000 to $90,000",130
A1Y,"$90,000 to $100,000",120
A1Y,"$100,000 to $150,000",180
A1Y,"$150,000 to $250,000",80
A1Y,"over $250,000",30
A2A,"Under $5,000",380
A2A,"$5,000  to $10,000",340
A2A,"$10,000 to $15,000",480
A2A,"$15,000 to $20,000",560
A2A,"$20,000 to $25,000",740
A2A,"$25,000 to $30,000",600
A2A,"$30,000 to $35,000",540
A2A,"$35,000 to $40,000",570
A2A,"$40,000 to $45,000",490
A2A,"$45,000 to $50,000",460
A2A,"$50,000 to $55,000",370
A2A,"$55,000 to $60,000",310
A2A,"$60,000 to $70,000",490
A2A,"$70,000 to $80,000",340
A2A,"$80,000 to $90,000",280
A2A,"$90,000 to $100,000",260
A2A,"$100,000 to $150,000",480
A2A,"$150,000 to $250,000",170
A2A,"over $250,000",90
A2B,"Under $5,000",200
A2B,"$5,000  to $10,000",190
A2B,"$10,000 to $15,000",340
A2B,"$15,000 to $20,000",430
A2B,"$20,000 to $25,000",520
A2B,"$25,000 to $30,000",370
A2B,"$30,000 to $35,000",350
A2B,"$35,000 to $40,000",290
A2B,"$40,000 to $45,000",260
A2B,"$45,000 to $50,000",230
A2B,"$50,000 to $55,000",150
A2B,"$55,000 to $60,000",130
A2B,"$60,000 to $70,000",170
A2B,"$70,000 to $80,000",120
A2B,"$80,000 to $90,000",90
A2B,"$90,000 to $100,000",70
A2B,"$100,000 to $150,000",130
A2B,"$150,000 to $250,000",40
A2B,"over $250,000",10
A2H,"Under $5,000",1010
A2H,"$5,000  to $10,000",890
A2H,"$10,000 to $15,000",1360
A2H,"$15,000 to $20,000",1620
A2H,"$20,000 to $25,000",2100
A2H,"$25,000 to $30,000",1770
A2H,"$30,000 to $35,000",1550
A2H,"$35,000 to $40,000",1430
A2H,"$40,000 to $45,000",1320
A2H,"$45,000 to $50,000",1280
A2H,"$50,000 to $55,000",1050
A2H,"$55,000 to $60,000",830
A2H,"$60,000 to $70,000",1330
A2H,"$70,000 to $80,000",990
A2H,"$80,000 to $90,000",800
A2H,"$90,000 to $100,000",690
A2H,"$100,000 to $150,000",1100
A2H,"$150,000 to $250,000",330
A2H,"over $250,000",180
A2N,"Under $5,000",420
A2N,"$5,000  to $10,000",360
A2N,"$10,000 to $15,000",720
A2N,"$15,000 to $20,000",740
A2N,"$20,000 to $25,000",810
A2N,"$25,000 to $30,000",580
A2N,"$30,000 to $35,000",540
A2N,"$35,000 to $40,000",470
A2N,"$40,000 to $45,000",420
A2N,"$45,000 to $50,000",410
A2N,"$50,000 to $55,000",320
A2N,"$55,000 to $60,000",250
A2N,"$60,000 to $70,000",400
A2N,"$70,000 to $80,000",270
A2N,"$80,000 to $90,000",230
A2N,"$90,000 to $100,000",230
A2N,"$100,000 to $150,000",300
A2N,"$150,000 to $250,000",90
A2N,"over $250,000",30
A2V,"Under $5,000",300
A2V,"$5,000  to $10,000",180
A2V,"$10,000 to $15,000",200
A2V,"$15,000 to $20,000",210
A2V,"$20,000 to $25,000",240
A2V,"$25,000 to $30,000",250
A2V,"$30,000 to $35,000",280
A2V,"$35,000 to $40,000",250
A2V,"$40,000 to $45,000",240
A2V,"$45,000 to $50,000",230
A2V,"$50,000 to $55,000",200
A2V,"$55,000 to $60,000",180
A2V,"$60,000 to $70,000",300
A2V,"$70,000 to $80,000",230
A2V,"$80,000 to $90,000",210
A2V,"$90,000 to $100,000",210
A2V,"$100,000 to $150,000",1270
A2V,"$150,000 to $250,000",880
A2V,"over $250,000",90
A5A,"Under $5,000",290
A5A,"$5,000  to $10,000",300
A5A,"$10,000 to $15,000",470
A5A,"$15,000 to $20,000",590
A5A,"$20,000 to $25,000",710
A5A,"$25,000 to $30,000",590
A5A,"$30,000 to $35,000",600
A5A,"$35,000 to $40,000",490
A5A,"$40,000 to $45,000",390
A5A,"$45,000 to $50,000",350
A5A,"$50,000 to $55,000",270
A5A,"$55,000 to $60,000",260
A5A,"$60,000 to $70,000",410
A5A,"$70,000 to $80,000",330
A5A,"$80,000 to $90,000",230
A5A,"$90,000 to $100,000",230
A5A,"$100,000 to $150,000",430
A5A,"$150,000 to $250,000",150
A5A,"over $250,000",50
A8A,"Under $5,000",300
A8A,"$5,000  to $10,000",230
A8A,"$10,000 to $15,000",410
A8A,"$15,000 to $20,000",530
A8A,"$20,000 to $25,000",750
A8A,"$25,000 to $30,000",540
A8A,"$30,000 to $35,000",540
A8A,"$35,000 to $40,000",440
A8A,"$40,000 to $45,000",340
A8A,"$45,000 to $50,000",320
A8A,"$50,000 to $55,000",240
A8A,"$55,000 to $60,000",200
A8A,"$60,000 to $70,000",310
A8A,"$70,000 to $80,000",230
A8A,"$80,000 to $90,000",150
A8A,"$90,000 to $100,000",130
A8A,"$100,000 to $150,000",260
A8A,"$150,000 to $250,000",90
A8A,"over $250,000",20
C0A,"Under $5,000",1760
C0A,"$5,000  to $10,000",1820
C0A,"$10,000 to $15,000",1820
C0A,"$15,000 to $20,000",2380
C0A,"$20,000 to $25,000",3270
C0A,"$25,000 to $30,000",2930
C0A,"$30,000 to $35,000",3260
C0A,"$35,000 to $40,000",2900
C0A,"$40,000 to $45,000",2790
C0A,"$45,000 to $50,000",2570
C0A,"$50,000 to $55,000",2070
C0A,"$55,000 to $60,000",1650
C0A,"$60,000 to $70,000",2860
C0A,"$70,000 to $80,000",2120
C0A,"$80,000 to $90,000",1620
C0A,"$90,000 to $100,000",1060
C0A,"$100,000 to $150,000",1940
C0A,"$150,000 to $250,000",670
C0A,"over $250,000",300
C0B,"Under $5,000",930
C0B,"$5,000  to $10,000",870
C0B,"$10,000 to $15,000",1350
C0B,"$15,000 to $20,000",1690
C0B,"$20,000 to $25,000",2350
C0B,"$25,000 to $30,000",2070
C0B,"$30,000 to $35,000",2170
C0B,"$35,000 to $40,000",2150
C0B,"$40,000 to $45,000",2020
C0B,"$45,000 to $50,000",1720
C0B,"$50,000 to $55,000",1410
C0B,"$55,000 to $60,000",1060
C0B,"$60,000 to $70,000",1670
C0B,"$70,000 to $80,000",1180
C0B,"$80,000 to $90,000",900
C0B,"$90,000 to $100,000",580
C0B,"$100,000 to $150,000",940
C0B,"$150,000 to $250,000",430
C0B,"over $250,000",250
C1A,"Under $5,000",1600
C1A,"$5,000  to $10,000",880
C1A,"$10,000 to $15,000",1230
C1A,"$15,000 to $20,000",1600
C1A,"$20,000 to $25,000",2250
C1A,"$25,000 to $30,000",1940
C1A,"$30,000 to $35,000",1940
C1A,"$35,000 to $40,000",1550
C1A,"$40,000 to $45,000",1410
C1A,"$45,000 to $50,000",1210
C1A,"$50,000 to $55,000",950
C1A,"$55,000 to $60,000",790
C1A,"$60,000 to $70,000",1320
C1A,"$70,000 to $80,000",970
C1A,"$80,000 to $90,000",720
C1A,"$90,000 to $100,000",540
C1A,"$100,000 to $150,000",960
C1A,"$150,000 to $250,000",410
C1A,"over $250,000",220
C1B,"Under $5,000",620
C1B,"$5,000  to $10,000",420
C1B,"$10,000 to $15,000",450
C1B,"$15,000 to $20,000",560
C1B,"$20,000 to $25,000",730
C1B,"$25,000 to $30,000",740
C1B,"$30,000 to $35,000",800
C1B,"$35,000 to $40,000",690
C1B,"$40,000 to $45,000",650
C1B,"$45,000 to $50,000",660
C1B,"$50,000 to $55,000",560
C1B,"$55,000 to $60,000",490
C1B,"$60,000 to $70,000",930
C1B,"$70,000 to $80,000",730
C1B,"$80,000 to $90,000",600
C1B,"$90,000 to $100,000",450
C1B,"$100,000 to $150,000",900
C1B,"$150,000 to $250,000",310
C1B,"over $250,000",180
C1C,"Under $5,000",230
C1C,"$5,000  to $10,000",150
C1C,"$10,000 to $15,000",190
C1C,"$15,000 to $20,000",270
C1C,"$20,000 to $25,000",340
C1C,"$25,000 to $30,000",350
C1C,"$30,000 to $35,000",340
C1C,"$35,000 to $40,000",340
C1C,"$40,000 to $45,000",300
C1C,"$45,000 to $50,000",290
C1C,"$50,000 to $55,000",250
C1C,"$55,000 to $60,000",190
C1C,"$60,000 to $70,000",310
C1C,"$70,000 to $80,000",250
C1C,"$80,000 to $90,000",160
C1C,"$90,000 to $100,000",130
C1C,"$100,000 to $150,000",190
C1C,"$150,000 to $250,000",50
C1C,"over $250,000",20
C1E,"Under $5,000",730
C1E,"$5,000  to $10,000",430
C1E,"$10,000 to $15,000",500
C1E,"$15,000 to $20,000",550
C1E,"$20,000 to $25,000",720
C1E,"$25,000 to $30,000",720
C1E,"$30,000 to $35,000",700
C1E,"$35,000 to $40,000",640
C1E,"$40,000 to $45,000",630
C1E,"$45,000 to $50,000",590
C1E,"$50,000 to $55,000",520
C1E,"$55,000 to $60,000",470
C1E,"$60,000 to $70,000",740
C1E,"$70,000 to $80,000",570
C1E,"$80,000 to $90,000",510
C1E,"$90,000 to $100,000",330
C1E,"$100,000 to $150,000",620
C1E,"$150,000 to $250,000",220
C1E,"over $250,000",90
C1N,"Under $5,000",650
C1N,"$5,000  to $10,000",560
C1N,"$10,000 to $15,000",730
C1N,"$15,000 to $20,000",1010
C1N,"$20,000 to $25,000",1530
C1N,"$25,000 to $30,000",1410
C1N,"$30,000 to $35,000",1350
