FSA,Bracket,Number
A0A,"Under $5,000",1950
A0A,"$5,000  to $10,000",1730
A0A,"$10,000 to $15,000",2860
A0A,"$15,000 to $20,000",3660
A0A,"$20,000 to $25,000",4230
A0A,"$25,000 to $30,000",3230
A0A,"$30,000 to $35,000",3120
A0A,"$35,000 to $40,000",2760
A0A,"$40,000 to $45,000",2290
A0A,"$45,000 to $50,000",2170
A0A,"$50,000 to $55,000",1630
A0A,"$55,000 to $60,000",1350
A0A,"$60,000 to $70,000",2230
A0A,"$70,000 to $80,000",1680
A0A,"$80,000 to $90,000",1200
A0A,"$90,000 to $100,000",980
A0A,"$100,000 to $150,000",2110
A0A,"$150,000 to $250,000",830
A0A,"over $250,000",250
A0B,"Under $5,000",740
A0B,"$5,000  to $10,000",680
A0B,"$10,000 to $15,000",1240
A0B,"$15,000 to $20,000",1620
A0B,"$20,000 to $25,000",2030
A0B,"$25,000 to $30,000",1550
A0B,"$30,000 to $35,000",1430
A0B,"$35,000 to $40,000",1320
A0B,"$40,000 to $45,000",1010
A0B,"$45,000 to $50,000",910
A0B,"$50,000 to $55,000",710
A0B,"$55,000 to $60,000",540
A0B,"$60,000 to $70,000",1000
A0B,"$70,000 to $80,000",690
A0B,"$80,000 to $90,000",470
A0B,"$90,000 to $100,000",390
A0B,"$100,000 to $150,000",900
A0B,"$150,000 to $250,000",300
A0B,"over $250,000",110
A0C,"Under $5,000",480
A0C,"$5,000  to $10,000",440
A0C,"$10,000 to $15,000",890
A0C,"$15,000 to $20,000",1160
A0C,"$20,000 to $25,000",1360
A0C,"$25,000 to $30,000",1000
A0C,"$30,000 to $35,000",1020
A0C,"$35,000 to $40,000",850
A0C,"$40,000 to $45,000",710
A0C,"$45,000 to $50,000",560
A0C,"$50,000 to $55,000",450
A0C,"$55,000 to $60,000",320
A0C,"$60,000 to $70,000",470
A0C,"$70,000 to $80,000",340
A0C,"$80,000 to $90,000",250
A0C,"$90,000 to $100,000",200
A0C,"$100,000 to $150,000",320
A0C,"$150,000 to $250,000",120
A0C,"over $250,000",10
A0E,"Under $5,000",870
A0E,"$5,000  to $10,000",860
A0E,"$10,000 to $15,000",1510
A0E,"$15,000 to $20,000",1880
A0E,"$20,000 to $25,000",2490
A0E,"$25,000 to $30,000",1640
A0E,"$30,000 to $35,000",1510
A0E,"$35,000 to $40,000",1280
A0E,"$40,000 to $45,000",970
A0E,"$45,000 to $50,000",920
A0E,"$50,000 to $55,000",680
A0E,"$55,000 to $60,000",550
A0E,"$60,000 to $70,000",980
A0E,"$70,000 to $80,000",830
A0E,"$80,000 to $90,000",510
A0E,"$90,000 to $100,000",490
A0E,"$100,000 to $150,000",970
A0E,"$150,000 to $250,000",330
A0E,"over $250,000",70
A0G,"Under $5,000",1560
A0G,"$5,000  to $10,000",1240
A0G,"$10,000 to $15,000",2660
A0G,"$15,000 to $20,000",3490
A0G,"$20,000 to $25,000",3630
A0G,"$25,000 to $30,000",2890
A0G,"$30,000 to $35,000",2650
A0G,"$35,000 to $40,000",2240
A0G,"$40,000 to $45,000",1820
A0G,"$45,000 to $50,000",1480
A0G,"$50,000 to $55,000",1120
A0G,"$55,000 to $60,000",910
A0G,"$60,000 to $70,000",1330
A0G,"$70,000 to $80,000",990
A0G,"$80,000 to $90,000",710
A0G,"$90,000 to $100,000",580
A0G,"$100,000 to $150,000",1120
A0G,"$150,000 to $250,000",290
A0G,"over $250,000",70
A0H,"Under $5,000",1200
A0H,"$5,000  to $10,000",690
A0H,"$10,000 to $15,000",1280
A0H,"$15,000 to $20,000",1470
A0H,"$20,000 to $25,000",1800
A0H,"$25,000 to $30,000",1370
A0H,"$30,000 to $35,000",1350
A0H,"$35,000 to $40,000",1020
A0H,"$40,000 to $45,000",870
A0H,"$45,000 to $50,000",780
A0H,"$50,000 to $55,000",550
A0H,"$55,000 to $60,000",480
A0H,"$60,000 to $70,000",730
A0H,"$70,000 to $80,000",480
A0H,"$80,000 to $90,000",350
A0H,"$90,000 to $100,000",300
A0H,"$100,000 to $150,000",530
A0H,"$150,000 to $250,000",120
A0H,"over $250,000",20
A0J,"Under $5,000",360
A0J,"$5,000  to $10,000",280
A0J,"$10,000 to $15,000",600
A0J,"$15,000 to $20,000",750
A0J,"$20,000 to $25,000",920
A0J,"$25,000 to $30,000",640
A0J,"$30,000 to $35,000",530
A0J,"$35,000 to $40,000",420
