,Freehold Sales (Occupancy Type),,,,Condo Sales (Occupancy Type),,,
Date,Owner,Tenant,Vacant,Total,Owner,Tenant,Vacant,Total
23-Feb-26,50,6,68,124,16,4,30,50
2-Mar-26,85,4,55,144,26,2,37,65
9-Mar-26,84,5,45,134,16,2,31,49
16-Mar-26,104,3,70,177,22,2,32,56
23-Mar-26,111,14,62,187,29,4,21,54
30-Mar-26,92,11,57,160,27,2,26,55
6-Apr-26,81,8,48,137,20,3,26,49
13-Apr-26,96,9,62,167,24,1,26,51
20-Apr-26,120,9,80,209,31,7,39,77
27-Apr-26,128,8,78,214,41,7,20,68
4-May-26,147,7,71,225,27,12,26,65
11-May-26,170,7,74,251,25,4,32,61
18-May-26,183,9,62,254,44,10,21,75
25-May-26,118,8,66,192,37,6,21,64
1-Jun-26,181,17,64,262,38,6,38,82
8-Jun-26,161,10,63,234,27,12,23,62
15-Jun-26,149,7,69,225,39,8,25,72
22-Jun-26,160,10,77,247,37,6,27,70
29-Jun-26,142,7,59,208,23,0,30,53
6-Jul-26,111,5,43,159,24,2,29,55
13-Jul-26,115,11,70,196,32,2,34,68
20-Jul-26,113,2,54,169,24,4,25,53
27-Jul-26,122,7,59,188,36,2,29,67
3-Aug-26,110,5,58,173,26,5,26,57
10-Aug-26,84,1,39,124,12,4,13,29
