timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-12T18:15:01Z,2026-07-12T14:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T18:15:01Z,2026-07-12T14:15:01-0400,unknown,9,1,0,,,,,,,
2026-07-12T18:30:02Z,2026-07-12T14:30:02-0400,all,358,6,0,,,,,,,
2026-07-12T18:30:02Z,2026-07-12T14:30:02-0400,bus,349,5,0,,,,,,,
2026-07-12T18:30:02Z,2026-07-12T14:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T18:30:02Z,2026-07-12T14:30:02-0400,unknown,9,1,0,,,,,,,
2026-07-12T18:45:01Z,2026-07-12T14:45:01-0400,all,357,7,0,,,,,,,
2026-07-12T18:45:01Z,2026-07-12T14:45:01-0400,bus,349,6,0,,,,,,,
2026-07-12T18:45:01Z,2026-07-12T14:45:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T18:45:01Z,2026-07-12T14:45:01-0400,unknown,8,1,0,,,,,,,
2026-07-12T19:00:02Z,2026-07-12T15:00:02-0400,all,340,1,0,,,,,,,
2026-07-12T19:00:02Z,2026-07-12T15:00:02-0400,bus,340,1,0,,,,,,,
2026-07-12T19:00:02Z,2026-07-12T15:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T19:00:02Z,2026-07-12T15:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T19:15:01Z,2026-07-12T15:15:01-0400,all,345,2,0,,,,,,,
2026-07-12T19:15:01Z,2026-07-12T15:15:01-0400,bus,345,2,0,,,,,,,
2026-07-12T19:15:01Z,2026-07-12T15:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T19:15:01Z,2026-07-12T15:15:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T19:30:02Z,2026-07-12T15:30:02-0400,all,344,0,0,,,,,,,
2026-07-12T19:30:02Z,2026-07-12T15:30:02-0400,bus,344,0,0,,,,,,,
2026-07-12T19:30:02Z,2026-07-12T15:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T19:30:02Z,2026-07-12T15:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T19:45:02Z,2026-07-12T15:45:02-0400,all,350,1,0,,,,,,,
2026-07-12T19:45:02Z,2026-07-12T15:45:02-0400,bus,350,1,0,,,,,,,
2026-07-12T19:45:02Z,2026-07-12T15:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T19:45:02Z,2026-07-12T15:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T20:00:01Z,2026-07-12T16:00:01-0400,all,339,2,0,,,,,,,
2026-07-12T20:00:01Z,2026-07-12T16:00:01-0400,bus,339,2,0,,,,,,,
2026-07-12T20:00:01Z,2026-07-12T16:00:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T20:00:01Z,2026-07-12T16:00:01-0400,unknown,0,0,0,,,,,,,
